[  467.   183.  1432.]
[  183.   431.  1276.]
[  431.    43.  1393.]
[  43.    4.  566.]
[    4.     3.  1055.]
[   3.  231.  494.]
[ 231.  110.  504.]
[ 110.   16.  221.]
[  16.  276.  582.]
[ 276.  277.  101.]
[  277.   482.  1048.]
[  482.   268.  1239.]
[ 268.   42.  712.]
[   42.   462.  1412.]
[  462.   243.  1449.]
[  243.   222.  1460.]
[  222.    21.  1462.]
[   21.   119.  1467.]
[  119.   120.  1231.]
[  120.   358.  1023.]
[  358.   398.  1460.]
[  398.   173.  1467.]
[  173.   363.  1476.]
[  363.   240.  1483.]
[  240.    71.  1518.]
[  71.  266.  845.]
[  266.   405.  1525.]
[ 405.  100.  281.]
[ 100.  244.   13.]
[ 244.  448.  718.]
[ 448.  154.   61.]
[ 154.  371.  200.]
[ 371.  372.   43.]
[ 372.   27.   69.]
[  27.  373.  170.]
[ 373.  118.   91.]
[ 118.   48.  823.]
[   48.   374.  1285.]
[  374.   232.  1096.]
[  232.    81.  1288.]
[   81.   344.  1295.]
[  344.   303.  1382.]
[ 303.   37.  562.]
[   37.   241.  1434.]
[  241.   101.  1456.]
[  101.    47.  1551.]
[   47.   359.  1554.]
[  359.   210.  1564.]
[  210.   164.  1564.]
[  164.    13.  1175.]
[   13.   478.  1565.]
[  478.   486.  1576.]
[ 486.  485.  813.]
[  485.   146.  1430.]
[ 146.  337.  825.]
[ 337.   60.  302.]
[  60.  454.  632.]
[ 454.  483.  953.]
[  483.   413.  1128.]
[  413.   355.  1579.]
[ 355.  497.  895.]
[ 497.  214.  505.]
[  214.   213.  1421.]
[  213.   348.  1196.]
[ 348.   24.   48.]
[  24.   89.  401.]
[  89.  347.  536.]
[  347.   184.  1583.]
[  184.   130.  1584.]
[ 130.  270.  487.]
[ 270.  311.   14.]
[ 311.  271.  202.]
[  271.   182.  1554.]
[  182.   480.  1362.]
[ 480.  481.  129.]
[  481.   334.  1301.]
[ 334.  335.  675.]
[  335.   491.  1241.]
[  491.     6.  1593.]
[   6.  343.  154.]
[ 343.  452.  536.]
[ 452.  451.  452.]
[  451.   489.  1217.]
[  489.    91.  1308.]
[   91.   218.  1596.]
[  218.   386.  1598.]
[ 386.  354.  846.]
[  354.   375.  1601.]
[  375.   219.  1607.]
[  219.   324.  1612.]
[  324.    56.  1623.]
[   56.   239.  1609.]
[  239.    65.  1627.]
[   65.   437.  1630.]
[  437.    51.  1630.]
[   51.   310.  1644.]
[  310.   136.  1647.]
